indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType
Age8_HYP_102,1,88,Test,8,7.22868584283711,Combined,GLM
Age8_HYP_197,1,113,Test,8,10.9644645130626,Combined,GLM
Age8_HYP_250,2,125,Test,8,9.33264886798012,Combined,GLM
Age8_HYP_530,2,96,Test,8,11.7423591647279,Combined,GLM
Age8_HYP_593,2,107,Test,8,6.16937655617269,Combined,GLM
Age8_HYP_618,2,92,Test,8,10.1783473409199,Combined,GLM
Age8_HYP_621,1,108,Test,8,8.20497389471116,Combined,GLM
Age8_HYP_639,1,100,Test,8,9.39109353382948,Combined,GLM
Age8_HYP_732,1,112,Test,8,9.19722248780466,Combined,GLM
Age8_HYP_735,1,120,Test,8,11.9107993169743,Combined,GLM
Age8_HYP_90,2,99,Test,8,9.63521843667759,Combined,GLM
Age10_HYP_10,2,111,Test,10,12.0053414835609,Combined,GLM
Age10_HYP_164,1,94,Test,10,9.63188290933116,Combined,GLM
Age10_HYP_266,2,114,Test,10,12.8483043223155,Combined,GLM
Age10_HYP_47,1,98,Test,10,12.0100595184639,Combined,GLM
Age10_HYP_494,2,143,Test,10,15.7193838432276,Combined,GLM
Age10_HYP_52,1,94,Test,10,12.5122198944741,Combined,GLM
Age10_HYP_526,2,122,Test,10,7.57881997252618,Combined,GLM
Age10_HYP_531,2,154,Test,10,9.75331571874586,Combined,GLM
Age10_HYP_544,1,118,Test,10,10.2090175242098,Combined,GLM
Age10_HYP_568,1,83,Test,10,12.2079814285775,Combined,GLM
Age10_HYP_645,1,120,Test,10,8.74036943860662,Combined,GLM
Age12_HYP_135,1,112,Test,12,12.0952275727301,Combined,GLM
Age12_HYP_165,1,111,Test,12,9.83655430429439,Combined,GLM
Age12_HYP_211,2,145,Test,12,13.1226623451382,Combined,GLM
Age12_HYP_224,2,146,Test,12,16.5829539081954,Combined,GLM
Age12_HYP_227,1,90,Test,12,8.40574379619881,Combined,GLM
Age12_HYP_236,2,130,Test,12,9.64544269301036,Combined,GLM
Age12_HYP_502,2,135,Test,12,13.5170230991315,Combined,GLM
Age12_HYP_517,2,128,Test,12,10.4395178631133,Combined,GLM
Age12_HYP_572,1,94,Test,12,7.54901052341596,Combined,GLM
Age12_HYP_603,1,121,Test,12,12.3906081597872,Combined,GLM
Age12_HYP_610,1,115,Test,12,11.7240150768476,Combined,GLM
Age15_HYP_125,1,99,Test,15,11.9853056082913,Combined,GLM
Age15_HYP_157,1,110,Test,15,11.7438894150225,Combined,GLM
Age15_HYP_198,2,171,Test,15,12.9830092940837,Combined,GLM
Age15_HYP_209,1,108,Test,15,13.0592851697591,Combined,GLM
Age15_HYP_232,2,100,Test,15,11.8608780015545,Combined,GLM
Age15_HYP_255,1,103,Test,15,10.1113682496922,Combined,GLM
Age15_HYP_35,1,103,Test,15,10.509492884607,Combined,GLM
Age15_HYP_550,2,136,Test,15,10.3718519960205,Combined,GLM
Age15_HYP_590,2,161,Test,15,14.6353845346588,Combined,GLM
Age15_HYP_9,1,98,Test,15,12.3809323255157,Combined,GLM
Age15_HYP_98,2,146,Test,15,12.5612167344191,Combined,GLM
Age16_HIP_1743,2,126,Test,16,11.8222165526007,Combined,GLM
Age16_HIP_1810,2,175,Test,16,17.8380449207787,Combined,GLM
Age16_HYP_89,2,170,Test,16,16.6572605175107,Combined,GLM
Age16_HYP_114,1,113,Test,16,15.9322373575891,Combined,GLM
Age16_HYP_205,1,94,Test,16,20.0540408528752,Combined,GLM
