indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType,se.fit,lower,upper,DataType,LogAge,LogLen
Age4_HIP_5525,1,34,Test,4,4.74585439899169,Combined,GAM,1.1882104448027,2.41696192717838,7.07474687080499,Wild,1.38629436111989,3.52636052461616
Age4_HIP_5530,1,38,Test,4,6.33687406666671,Combined,GAM,1.6324796212667,3.13721400898397,9.53653412434945,Wild,1.38629436111989,3.63758615972639
Age4_HIP_5533,1,60,Test,4,5.24262631372367,Combined,GAM,1.29292200884842,2.70849917638076,7.77675345106659,Wild,1.38629436111989,4.0943445622221
Age4_HIP_91,1,44,Test,4,6.03619358010464,Combined,GAM,1.00397723125473,4.06839820684538,8.0039889533639,Wild,1.38629436111989,3.78418963391826
Age4_HIP_93,2,45,Test,4,3.464013779107,Combined,GAM,1.10773673873569,1.29284977118505,5.63517778702896,Wild,1.38629436111989,3.80666248977032
Age6_HYP_132,2,108,Test,6,9.41125495019797,Combined,GAM,0.973471391797104,7.50325102227565,11.3192588781203,Wild,1.79175946922805,4.68213122712422
Age6_HYP_163,1,83,Test,6,4.13653907532995,Combined,GAM,0.749310462770232,2.6678905683003,5.60518758235961,Wild,1.79175946922805,4.4188406077966
Age6_HYP_177,2,90,Test,6,9.58727295416494,Combined,GAM,0.904175332214473,7.81508930302457,11.3594566053053,Wild,1.79175946922805,4.49980967033027
Age6_HYP_187,1,92,Test,6,8.7068025303709,Combined,GAM,0.962914031477536,6.81949102867493,10.5941140320669,Wild,1.79175946922805,4.52178857704904
Age6_HYP_251,1,114,Test,6,7.88751973676504,Combined,GAM,0.858070035448239,6.2057024672865,9.56933700624359,Wild,1.79175946922805,4.7361984483945
Age6_HYP_265,1,105,Test,6,7.53994567442824,Combined,GAM,0.724978937923635,6.11898695609792,8.96090439275856,Wild,1.79175946922805,4.65396035015752
Age6_HYP_488,2,84,Test,6,5.43238601347079,Combined,GAM,0.811995012787612,3.84087578840707,7.02389623853451,Wild,1.79175946922805,4.43081679884331
Age6_HYP_540,2,103,Test,6,9.86505467032982,Combined,GAM,0.83404188499989,8.23033257573004,11.4997767649296,Wild,1.79175946922805,4.63472898822964
Age6_HYP_599,1,100,Test,6,5.28939176653804,Combined,GAM,0.830897471192097,3.66083272300153,6.91795081007455,Wild,1.79175946922805,4.60517018598809
Age6_HYP_731,1,108,Test,6,8.45234132432523,Combined,GAM,1.03006917647775,6.43340573842885,10.4712769102216,Wild,1.79175946922805,4.68213122712422
Age6_HYP_91,2,105,Test,6,7.34553059151428,Combined,GAM,1.37953715945718,4.6416377589782,10.0494234240504,Wild,1.79175946922805,4.65396035015752
Age8_HYP_102,1,88,Test,8,7.25517014392598,Combined,GAM,0.86473384244218,5.56029181273931,8.95004847511265,Wild,2.07944154167984,4.47733681447821
Age8_HYP_197,1,113,Test,8,7.81512898873502,Combined,GAM,1.05452636523501,5.74825731287441,9.88200066459563,Wild,2.07944154167984,4.72738781871234
Age8_HYP_250,2,125,Test,8,7.27152580641837,Combined,GAM,1.05605263608523,5.20166263969132,9.34138897314542,Wild,2.07944154167984,4.8283137373023
Age8_HYP_530,2,96,Test,8,6.49844971562974,Combined,GAM,0.749096209978707,5.03022114407147,7.966678287188,Wild,2.07944154167984,4.56434819146784
Age8_HYP_593,2,107,Test,8,9.67076737493925,Combined,GAM,0.886176288420449,7.93386184963517,11.4076729002433,Wild,2.07944154167984,4.67282883446191
Age8_HYP_618,2,92,Test,8,8.93172337820548,Combined,GAM,0.723001805898474,7.51463983864447,10.3488069177665,Wild,2.07944154167984,4.52178857704904
Age8_HYP_621,1,108,Test,8,8.81085778831335,Combined,GAM,0.810859303366603,7.22157355371481,10.4001420229119,Wild,2.07944154167984,4.68213122712422
Age8_HYP_639,1,100,Test,8,9.49038169188319,Combined,GAM,0.730189337426274,8.0592105905277,10.9215527932387,Wild,2.07944154167984,4.60517018598809
Age8_HYP_732,1,112,Test,8,9.79969627074566,Combined,GAM,0.934056034981935,7.96894644218106,11.6304460993102,Wild,2.07944154167984,4.71849887129509
Age8_HYP_735,1,120,Test,8,7.89195697397611,Combined,GAM,1.03460510995741,5.86413095845959,9.91978298949264,Wild,2.07944154167984,4.78749174278205
Age8_HYP_90,2,99,Test,8,5.86782006427603,Combined,GAM,1.04584551916123,3.81796284672001,7.91767728183204,Wild,2.07944154167984,4.59511985013459
Age10_HYP_10,2,111,Test,10,10.9932772883961,Combined,GAM,1.4286696282669,8.19308481699298,13.7934697597992,Wild,2.30258509299405,4.70953020131233
Age10_HYP_164,1,94,Test,10,10.4834138709216,Combined,GAM,1.02301682903004,8.47830088602277,12.4885268558205,Wild,2.30258509299405,4.54329478227
Age10_HYP_266,2,114,Test,10,9.79492168209046,Combined,GAM,0.838729150213052,8.15101254767287,11.438830816508,Wild,2.30258509299405,4.7361984483945
Age10_HYP_47,1,98,Test,10,11.684363317351,Combined,GAM,0.76286819524485,10.1891416546711,13.1795849800309,Wild,2.30258509299405,4.58496747867057
Age10_HYP_494,2,143,Test,10,11.3349140776106,Combined,GAM,0.856664882122681,9.65585090865012,13.013977246571,Wild,2.30258509299405,4.96284463025991
Age10_HYP_52,1,94,Test,10,11.2378116576459,Combined,GAM,1.07907036543442,9.12283374139446,13.3527895738974,Wild,2.30258509299405,4.54329478227
Age10_HYP_526,2,122,Test,10,8.45426887853606,Combined,GAM,0.89328046666002,6.70343916388243,10.2050985931897,Wild,2.30258509299405,4.80402104473326
Age10_HYP_531,2,154,Test,10,10.6268355896243,Combined,GAM,1.29483560894947,8.08895779608336,13.1647133831653,Wild,2.30258509299405,5.03695260241363
Age10_HYP_544,1,118,Test,10,6.77133934463403,Combined,GAM,0.817352117037923,5.1693291952397,8.37334949402836,Wild,2.30258509299405,4.77068462446567
Age10_HYP_568,1,83,Test,10,15.5316342991069,Combined,GAM,0.851641722349735,13.8624165233014,17.2008520749123,Wild,2.30258509299405,4.4188406077966
Age10_HYP_645,1,120,Test,10,8.19390063778188,Combined,GAM,1.00311936334626,6.22778668562322,10.1600145899405,Wild,2.30258509299405,4.78749174278205
Age12_HYP_135,1,112,Test,12,14.8914302934444,Combined,GAM,0.850718856727063,13.2240213342594,16.5588392526295,Wild,2.484906649788,4.71849887129509
Age12_HYP_165,1,111,Test,12,10.7383320587408,Combined,GAM,0.963289967136497,8.85028372315331,12.6263803943284,Wild,2.484906649788,4.70953020131233
Age12_HYP_211,2,145,Test,12,9.04276931983202,Combined,GAM,0.863439560155809,7.35042778192663,10.7351108577374,Wild,2.484906649788,4.97673374242057
Age12_HYP_224,2,146,Test,12,12.2848894425154,Combined,GAM,0.796428982413769,10.7238886369844,13.8458902480464,Wild,2.484906649788,4.98360662170834
Age12_HYP_227,1,90,Test,12,12.283906827982,Combined,GAM,1.1378641391376,10.0536931152723,14.5141205406917,Wild,2.484906649788,4.49980967033027
Age12_HYP_236,2,130,Test,12,11.8507981440861,Combined,GAM,0.908676426791476,10.0697923475748,13.6318039405974,Wild,2.484906649788,4.86753445045558
Age12_HYP_502,2,135,Test,12,11.0832640521264,Combined,GAM,0.805702797474166,9.50408656907702,12.6624415351758,Wild,2.484906649788,4.90527477843843
Age12_HYP_517,2,128,Test,12,11.3601432338751,Combined,GAM,0.770286456545835,9.85038177904528,12.8699046887049,Wild,2.484906649788,4.85203026391962
Age12_HYP_572,1,94,Test,12,13.4091547701602,Combined,GAM,1.00107488758998,11.4470479904838,15.3712615498365,Wild,2.484906649788,4.54329478227
Age12_HYP_603,1,121,Test,12,9.46021342404096,Combined,GAM,0.871991607971297,7.75110987241722,11.1693169756647,Wild,2.484906649788,4.79579054559674
Age12_HYP_610,1,115,Test,12,8.9319800755962,Combined,GAM,0.947540927376508,7.07479985793825,10.7891602932542,Wild,2.484906649788,4.74493212836325
Age15_HYP_125,1,99,Test,15,13.3388054222382,Combined,GAM,0.964627307258807,11.4481359000109,15.2294749444654,Wild,2.70805020110221,4.59511985013459
Age15_HYP_157,1,110,Test,15,14.0964701978348,Combined,GAM,0.747818169956496,12.6307465847201,15.5621938109495,Wild,2.70805020110221,4.70048036579242
Age15_HYP_198,2,171,Test,15,15.5972569977217,Combined,GAM,1.02406854302644,13.5900826533898,17.6044313420535,Wild,2.70805020110221,5.14166355650266
Age15_HYP_209,1,108,Test,15,16.1507243575796,Combined,GAM,1.18545954480488,13.8272236497621,18.4742250653972,Wild,2.70805020110221,4.68213122712422
Age15_HYP_232,2,100,Test,15,15.0216021947944,Combined,GAM,1.32762871185412,12.4194499195603,17.6237544700285,Wild,2.70805020110221,4.60517018598809
Age15_HYP_255,1,103,Test,15,13.0204348376995,Combined,GAM,0.943035457641098,11.172085340723,14.8687843346761,Wild,2.70805020110221,4.63472898822964
Age15_HYP_35,1,103,Test,15,14.5150421676837,Combined,GAM,0.944480334837216,12.6638607114028,16.3662236239647,Wild,2.70805020110221,4.63472898822964
Age15_HYP_550,2,136,Test,15,14.8513278349314,Combined,GAM,0.665814687723618,13.5463310469931,16.1563246228697,Wild,2.70805020110221,4.91265488573605
Age15_HYP_590,2,161,Test,15,12.7951760870477,Combined,GAM,1.14944586691523,10.5422621878938,15.0480899862015,Wild,2.70805020110221,5.08140436498446
Age15_HYP_9,1,98,Test,15,14.6116269490298,Combined,GAM,1.29829357277621,12.0669715463884,17.1562823516712,Wild,2.70805020110221,4.58496747867057
Age15_HYP_98,2,146,Test,15,13.0194904275705,Combined,GAM,1.04325261840115,10.9747152955042,15.0642655596367,Wild,2.70805020110221,4.98360662170834
Age16_HIP_1743,2,126,Test,16,16.2666738121522,Combined,GAM,1.050306250259,14.2080735616445,18.3252740626598,Wild,2.77258872223978,4.83628190695148
