indivname,ObsSex,Length,type,Age,EpiAge,SampleSet,ModelType,se.fit,lower,upper,DataType,LogAge,LogLen
Age12_HYP_610,1,115,Test,12,9.27419723742777,Male-Only,GAM,0.736351381971562,7.83094852876351,10.717445946092,Wild,2.484906649788,4.74493212836325
Age15_HYP_125,1,99,Test,15,14.7207440135389,Male-Only,GAM,0.571885262674322,13.5998488986972,15.8416391283806,Wild,2.70805020110221,4.59511985013459
Age15_HYP_157,1,110,Test,15,12.1572217177048,Male-Only,GAM,0.751701040488165,10.6838876783479,13.6305557570616,Wild,2.70805020110221,4.70048036579242
Age15_HYP_209,1,108,Test,15,14.9821685335557,Male-Only,GAM,0.798466366927266,13.4171744543783,16.5471626127332,Wild,2.70805020110221,4.68213122712422
Age15_HYP_255,1,103,Test,15,13.1933069952092,Male-Only,GAM,0.591247991625661,12.0344609316229,14.3521530587955,Wild,2.70805020110221,4.63472898822964
Age15_HYP_35,1,103,Test,15,14.5158833750331,Male-Only,GAM,0.588859255811633,13.3617192336423,15.6700475164239,Wild,2.70805020110221,4.63472898822964
Age15_HYP_9,1,98,Test,15,14.1041539528651,Male-Only,GAM,0.74589484144871,12.6422000636257,15.5661078421046,Wild,2.70805020110221,4.58496747867057
Age16_HYP_114,1,113,Test,16,16.7101426573315,Male-Only,GAM,0.842890850348195,15.0580765906491,18.362208724014,Wild,2.77258872223978,4.72738781871234
Age16_HYP_205,1,94,Test,16,16.5188030784321,Male-Only,GAM,0.770009847294687,15.0095837777345,18.0280223791297,Wild,2.77258872223978,4.54329478227
Age16_HYP_242,1,118,Test,16,16.9592711312462,Male-Only,GAM,0.690290746084676,15.6063012689202,18.3122409935722,Wild,2.77258872223978,4.77068462446567
Age16_HIP_1758,1,131,Test,16,15.1748017280537,Male-Only,GAM,1.03094865416556,13.1541423658892,17.1954610902182,Wild,2.77258872223978,4.87519732320115
Age16_HIP_1401,1,98,Test,16,16.230765526338,Male-Only,GAM,0.872495265887696,14.5206748051981,17.9408562474779,Wild,2.77258872223978,4.58496747867057
Age16_HIP_1717,1,95,Test,16,15.2681027633816,Male-Only,GAM,0.802148642084989,13.695891424895,16.8403141018682,Wild,2.77258872223978,4.55387689160054
Age17_HYP_110,1,119,Test,17,17.6525435080842,Male-Only,GAM,0.907912584897998,15.8730348416841,19.4320521744843,Wild,2.83321334405622,4.77912349311153
Age17_HYP_156,1,114,Test,17,19.2500964547379,Male-Only,GAM,0.701870652769188,17.8744299753103,20.6257629341655,Wild,2.83321334405622,4.7361984483945
Age17_HYP_162,1,118,Test,17,16.0575870176253,Male-Only,GAM,0.559592288801384,14.9607861315745,17.154387903676,Wild,2.83321334405622,4.77068462446567
Age18_HYP_560,1,120,Test,18,19.0887653237498,Male-Only,GAM,0.752007254099206,17.6148311057154,20.5626995417843,Wild,2.89037175789616,4.78749174278205
Age18_HYP_589,1,123,Test,18,17.0395999089773,Male-Only,GAM,0.615537349145521,15.8331467046521,18.2460531133025,Wild,2.89037175789616,4.81218435537242
Age18_HYP_772,1,120,Test,18,17.5972837309866,Male-Only,GAM,0.658146466286954,16.3073166570642,18.8872508049091,Wild,2.89037175789616,4.78749174278205
Age18_HIP_6325,1,82,Test,18,16.525049442087,Male-Only,GAM,0.677512726889855,15.1971244973829,17.8529743867912,Wild,2.89037175789616,4.40671924726425
Age18_HIP_3058,1,127,Test,18,17.3086889867833,Male-Only,GAM,0.747175538733597,15.8442249308654,18.7731530427011,Wild,2.89037175789616,4.84418708645859
Age19_HIP_1300,1,132,Test,19,17.2052106169004,Male-Only,GAM,0.922607000734206,15.3969008954614,19.0135203383395,Wild,2.94443897916644,4.88280192258637
Age19_HYP_108,1,123,Test,19,18.7686223591872,Male-Only,GAM,0.830103003137597,17.1416204730375,20.3956242453368,Wild,2.94443897916644,4.81218435537242
